entry_id,title,year,venue,authors,tracks,priority,source_role,verification_contract,supervision_granularity,training_use,construction_layer,domains,tags,one_line_summary,one_line_summary_zh,primary_link,code,data,huggingface,project
adaptive-test-time-compute-constrained-policy-2026,Adaptive Test-Time Compute Allocation for Reasoning LLMs via Constrained Policy Optimization,2026,arXiv preprint,Zhiyuan Zhai; Bingcong Li; Bingnan Xiao; Ming Li; Xin Wang,rollout_search_test_time_trace_data; scaling_rlvr_test_time_compute,必读,construction_recipe; scaling_study,programmatic,answer_level; scalar_reward,rlvr; test_time_compute; evaluation,search_substrate; optimizer_scaffold; scaling_report,reasoning,adaptive-compute; constrained-optimization; test-time-compute; budget-allocation; rlvr,A budget-allocation method that turns repeated responses into supervised compute-policy labels.,AdaCompute-LLM 为问题—预算组合收集 48 个响应，以受约束目标的拉格朗日标签训练分类器，从而按问题分配推理计算量。,https://arxiv.org/abs/2604.14853,https://github.com/zhiyuanZhai20/AdaCompute-LLM,,,
categorical-verification-tts-2026,Adaptive Test-Time Compute Allocation via Learned Heuristics over Categorical Structure,2026,arXiv preprint,Shuhui Qu,scaling_rlvr_test_time_compute,可读,scaling_study,mixed,step_level; full_episode,test_time_compute; evaluation,optimizer_scaffold; scaling_report,mathematical-reasoning,test-time-compute; verifier-allocation; process-reward-model; search; structured-reasoning,"The method saves verifier calls by gating invalid moves, ranking viable moves, and allocating a local verification budget at each reasoning state.",该方法通过筛除无效动作、排序可行动作并逐状态分配验证预算来节约验证调用。,https://arxiv.org/abs/2602.03975,,,,
evolving-icl-ttc-allocation-2026,Adaptive Test-Time Compute Allocation with Evolving In-Context Demonstrations,2026,arXiv preprint,Bowen Zuo; Dongruo Zhou; Yinglun Zhu,scaling_rlvr_test_time_compute,可读,scaling_study,mixed,answer_level; full_episode,test_time_compute; evaluation,optimizer_scaffold; scaling_report,mathematical-reasoning; software-engineering; general-reasoning,test-time-compute; adaptive-allocation; in-context-learning; retrieval; verification,"The method reallocates later inference rounds to unresolved queries and conditions them on successful, semantically related test-time demonstrations.",该方法把后续推理轮次分配给未解决问题，并用语义相近的成功测试时示例改变其生成条件。,https://arxiv.org/abs/2604.21018,,,,
sonata-adaptive-thinking-2026,Adaptive Thinking: Large Language Models Know When to Think in Latent Space,2026,ICLR 2026,Pingzhi Li; Bairu Hou; Yun Zhu; Yihao Feng; Ke Ye; Tao Lei; Zhifeng Chen; Tianlong Chen; Xianzhi Du,scaling_rlvr_test_time_compute,必读,scaling_study,mixed,answer_level,test_time_compute,optimizer_scaffold; scaling_report,reasoning,test-time-compute; reasoning; scaling,Adaptive Thinking: Large Language Models Know When to Think in Latent Space,固定思考预算会在简单提示上浪费 token、在困难提示上投入不足，而查询复杂度与计算最优预算的关系并不清楚。,https://iclr.cc/virtual/2026/poster/10011708,,,,https://machinelearning.apple.com/research/adaptive-thinking
block-diffusion-tts-2026,Advancing Block Diffusion Language Models for Test-Time Scaling,2026,arXiv preprint,Yi Lu; Deyang Kong; Jianing Wang; Linsen Guo; Xue Wang; Qi Guo; Tao Gui; Xuanjing Huang; Wei Ye; Shikun Zhang; Wei Wang,scaling_rlvr_test_time_compute,可读,scaling_study,mixed,full_episode,test_time_compute; evaluation,optimizer_scaffold; scaling_report,mathematical-reasoning,test-time-compute; block-diffusion; adaptive-decoding; reasoning; inference-efficiency,The paper makes block-diffusion reasoning scale at test time by adapting denoising and using coarse exploration followed by fine-grained critique.,该研究让块扩散推理在测试时同时自适应控制去噪和推理块大小，以平衡探索、细化与速度。,https://arxiv.org/abs/2602.09555,https://github.com/LuLuLuyi/TDAR,,,
advermcts-2026,AdverMCTS: Combating Pseudo-Correctness in Code Generation via Adversarial Monte Carlo Tree Search,2026,ICML 2026,Qingyao Li; Weiwen Liu; Weinan Zhang; Yong Yu; Bo An,data_construction_open_release_recipes,必读,construction_recipe; verifier_reward; agent_environment; scaling_study; audit_failure,mixed,step_level; answer_level; scalar_reward,test_time_compute; evaluation,search_substrate; reward_verifier_layer; frontier_pipeline; scaling_report; release_audit,code; software_engineering,adversarial-mcts; code-generation; counterexample-generation; dynamic-test-memory; output-arbiter; pseudo-correctness; test-time-compute; verifier-refresh; open-code,"AdverMCTS co-evolves a Solver code-search tree and an Attacker test-search tree, retaining Arbiter-labeled counterexamples as a growing hard verifier at inference time.",AdverMCTS 让 Solver 代码树与 Attacker 测试树共同演化，并把同一主干模型的 Arbiter 标注反例存为逐题动态硬验证器；但 79.88% 测试有效率与 16.1% 误杀率表明，持久约束仍可能被错误标签污染。,https://openreview.net/forum?id=0JpXqndUrA,https://github.com/SIMONLQY/AdverMCTS,,,
aegis-2026,Aegis: Automated Error Generation and Attribution for Multi-Agent Systems,2026,ICLR 2026,Fanqi Kong; Ruijie Zhang; Huaxiao Yin; Guibin Zhang; Xiaofei Zhang; Ziang Chen; Zhaowei Zhang; Xiaoyuan Zhang; Song-Chun Zhu; Xue Feng,environment_agent_trajectory_data,可读,data_release; benchmark; construction_recipe; verifier_reward,mixed,full_episode; scalar_reward,sft; rlvr; evaluation,prompt_sourcing; trace_writing; reward_verifier_layer; release_audit,multi_agent_systems; agent_trajectories; error_attribution; mathematics; code; science; knowledge; general_assistant,multi-agent-systems; agent-trajectories; synthetic-failures; error-attribution; prompt-injection; response-corruption; mixed-verifier; sft; grpo; contrastive-learning; selection-bias; version-drift,"Aegis converts deterministic successful multi-agent runs into 9,533 evaluator-confirmed faulty trajectories with agent/error-mode labels, while mixed verifiers and selective failure retention bound reuse.","Aegis 将确定性成功的多智能体运行转化为 9,533 条经 mixed evaluator 确认失败的完整 episode，并附 agent/error-mode 归因；其选择性保留、分组策略未披露与未固定回放限制训练复用。",https://openreview.net/forum?id=zqcYoxXiN3,https://github.com/kfq20/AEGIS,https://huggingface.co/datasets/Fancylalala/AEGIS,,https://kfq20.github.io/AEGIS-Website/
agent-island-2026,Agent Island: A Saturation- and Contamination-Resistant Benchmark from Multiagent Games,2026,arXiv preprint,Connacher Murphy,environment_agent_trajectory_data,可读,benchmark; agent_environment; data_release,mixed,state_action_level; full_episode,evaluation; audit,self_play_anchor; reward_verifier_layer; release_audit,agent_trajectories; environment_interaction; multiagent_social_strategy; behavioral_analysis,agent-island; multi-agent-benchmark; agent-trajectories; environment-interaction; social-strategy; full-episode-logs; bayesian-plackett-luce; behavioral-audit; live-benchmark; version-drift,"Agent Island releases a frozen CC BY 4.0 manifest of 999 seven-agent social-strategy episodes and ranks winner outcomes with Bayesian Plackett-Luce, while its separate live leaderboard continues to drift.",Agent Island 发布了含 999 场七智能体社交策略 episode 的冻结 CC BY 4.0 manifest，并以 Bayesian Plackett-Luce 对胜者结果建模；独立的 live leaderboard 会持续漂移。,https://arxiv.org/abs/2605.04312,https://github.com/connachermurphy/agent-island,https://storage.googleapis.com/agent-island/dataset/agent-island-paper-dataset.json?generation=1778013926769406,,https://www.agentisland.ai/
agent-diff-benchmarking-llm-agents-on-enterprise-api-tasks-via-code-execution-with-state,Agent-Diff: Benchmarking LLM Agents on Enterprise API Tasks via Code Execution with State-Diff-Based Evaluation,2026,KDD 2026,Hubert M. Pysklo; Artem Zhuravel; Patrick D. Watson,programmatically_verifiable_outcome_data,可读,data_release; benchmark,programmatic,answer_level,evaluation,prompt_sourcing; reward_verifier_layer; release_audit,reasoning,programmatic-verification,One-sentence position:** Two hundred twenty-four enterprise API tasks scored automatically from database state differences before and after execution.,224 个企业 API 任务用执行前后数据库状态差分自动判分。,https://arxiv.org/abs/2602.11224,https://github.com/agent-diff-bench/agent-diff,https://huggingface.co/datasets/hubertmarek/agent-diff-bench,,https://agentdiff.dev
agent-x-vision-centric-agentic-tasks-2026,Agent-X: Evaluating Deep Multimodal Reasoning in Vision-Centric Agentic Tasks,2026,ICLR 2026,Tajamul Ashraf; Amal Saqib; Hanan Gani; Muhra AlMahri; Yuhao Li; Noor Ahsan; Umair Nawaz; Jean Lahoud; Hisham Cholakkal; Mubarak Shah; Philip H. S. Torr; Fahad Shahbaz Khan; Rao Muhammad Anwer; Salman Khan,process_trace_supervision_data,可读,data_release; benchmark; process_supervision; verifier_reward,judgment_required,step_level; process_reward,process_supervision; reward_modeling; evaluation,prompt_sourcing; trace_writing; reward_verifier_layer,multimodal-agents; tool-use; process-evaluation,process-supervision; reward-modeling; reasoning,"Agent-X provides 828 human-reviewed multimodal tool-use tasks with stepwise traces and judges that score local decisions, full-chain reasoning, and final success separately.",Agent-X 提供 828 个经人工复核的多模态工具使用任务，以逐步轨迹分别评测局部决策、整链推理和最终成功。,https://openreview.net/forum?id=Vjruxvp1Xd,https://github.com/mbzuai-oryx/Agent-X,https://huggingface.co/datasets/Tajamul21/Agent-X,,
agentbeats-2026,"AgentBeats: Agentifying Agent Assessment for Openness, Standardization, and Reproducibility",2026,arXiv preprint,Xiaoyuan Liu; Jianhong Tu; Yuqi Chen; Siyuan Xie; Sihan Ren; Tianneng Shi; Gal Gantar; Evan Sandoval; Donghyun Lee; Daniel Miao; Peter J. Gilbert; Nick Hynes; Mauro Staver; Warren He; David Marn; Andrew Low; Xi Zhang; Elron Bandel; Michal Shmueli-Scheuer; Siva Reddy; Alexandre Drouin; Alexandre Lacoste; Ramayya Krishnan; Elham Tabassi; Yu Su; Victor Barres; Chenguang Wang; Wenbo Guo; Dawn Song,environment_agent_trajectory_data,可读,infrastructure; benchmark; agent_environment,mixed,full_episode; state_action_level,evaluation; audit,reward_verifier_layer; release_audit,agent_trajectories; environment_interaction; agent_evaluation; coding_agents,agentbeats; agentified-agent-assessment; agent-evaluation; a2a; mcp; judge-agent; agent-trajectories; environment-feedback; coding-agents; evaluation-infrastructure,"AgentBeats turns a benchmark into an A2A/MCP judge agent that owns tasks, environments and scoring, and validates the interface through a 298-judge/467-subject field study plus standardized coding-agent episodes.",AgentBeats 将 benchmark 封装为掌管任务、环境与评分的 A2A/MCP judge agent，以统一评测 episode 的协议边界；但 arXiv v2 未绑定可重放轨迹、结果与实现清单。,https://arxiv.org/abs/2606.13608,https://github.com/agentbeats/agentbeats,,,https://agentbeats.dev/
agenther-2026,AgentHER: Hindsight Experience Replay for LLM Agent Trajectory Relabeling,2026,arXiv preprint,Liang Ding,environment_agent_trajectory_data,可读,construction_recipe; agent_environment,mixed,full_episode; pairwise_preference; scalar_reward,sft; preference_learning; agent_training,prompt_sourcing; trace_writing; reward_verifier_layer; optimizer_scaffold,agent_trajectories; web_navigation; api_tool_use,agent-trajectories; hindsight-relabeling; failed-rollouts; data-augmentation; llm-as-judge; sft; dpo,"AgentHER relabels recoverable failed WebArena and ToolBench episodes with LLM-synthesized hindsight goals and packages them as severity-weighted SFT, DPO, or ShareGPT records, while the public code and experiment release remain materially incomplete.",AgentHER 用 LLM 生成的后见目标重标可恢复的 WebArena 与 ToolBench 失败 episode，并封装为 severity-weighted SFT、DPO 或 ShareGPT 记录，但公开代码与实验发布仍存在关键缺口。,https://arxiv.org/abs/2603.21357,https://github.com/alphadl/AgentHER,,,
agentprocessbench-step-level-tool-agents-2026,AgentProcessBench: Diagnosing Step-Level Process Quality in Tool-Using Agents,2026,arXiv preprint,Shengda Fan; Xuyan Ye; Yupeng Huo; Zhi-Yuan Chen; Yiju Guo; Shenzhi Yang; Wenkai Yang; Shuqi Ye; Jingwen Chen; Haotian Chen; Xin Cong; Yankai Lin,process_trace_supervision_data,可读,data_release; benchmark; process_supervision; verifier_reward,judgment_required,step_level; process_reward,process_supervision; reward_modeling; evaluation,prompt_sourcing; trace_writing; reward_verifier_layer,tool-using-agents; process-reward-modeling; agent-evaluation,process-supervision; agent-trajectories; reasoning,"AgentProcessBench supplies 1,000 tool-agent trajectories with 8,509 human ternary step labels for evaluating local process quality and first-error localization.","AgentProcessBench 提供 1,000 条工具智能体轨迹和 8,509 个人工三值步骤标签，用于评测局部过程质量与首错定位。",https://arxiv.org/abs/2603.14465,https://github.com/RUCBM/AgentProcessBench,https://huggingface.co/datasets/LulaCola/AgentProcessBench,,https://rucbm.github.io/AgentProcessBench-Homepage/
agentracer-2025,AgenTracer: Who Is Inducing Failure in the LLM Agentic Systems?,2026,ICLR 2026 Poster,Guibin Zhang; Junhao Wang; Junjie Chen; Wangchunshu Zhou; Kun Wang; Shuicheng Yan,environment_agent_trajectory_data,可读,data_release; construction_recipe; verifier_reward; process_supervision; audit_failure,mixed,state_action_level; full_episode; process_reward,rlvr; evaluation; audit,prompt_sourcing; trace_writing; reward_verifier_layer; optimizer_scaffold; release_audit,agent_trajectories; multi_agent_systems; environment_interaction; code; mathematics; general_agentic_tasks,environment-agent-trajectory-data; multi-agent-systems; failure-attribution; counterfactual-replay; fault-injection; decisive-step; process-reward; rlvr; release-gap; replay-risk,"AgenTracer turns successful and failed multi-agent episodes into decisive-agent/step labels through DeepSeek-R1-guided mutation or correction plus environment replay, but only a 127-row coding test subset of the reported 2,476 pairs is public and its license/replay contract is incomplete.","AgenTracer 通过 DeepSeek-R1 引导的纠错或故障注入与环境回放，把多智能体 episode 转成责任智能体/决定性步骤标签；但报告的 2,476 对数据中仅有 127 行 coding test 子集公开，许可与回放契约仍不完整。",https://openreview.net/forum?id=l05DseqvuD,https://github.com/bingreeky/AgenTracer,https://github.com/bingreeky/AgenTracer/blob/bc6bcd94c2e18f62d6712ca70ba268f6684b894f/data/tracertraj-code-test.parquet,,https://bingreeky.github.io/atracer/
agentrx-execution-trajectory-diagnosis-2026,AgentRx: Diagnosing AI Agent Failures from Execution Trajectories,2026,arXiv preprint,Shraddha Barke; Arnav Goyal; Alind Khare; Avaljot Singh; Suman Nath; Chetan Bansal,process_trace_supervision_data,必读,data_release; benchmark; process_supervision; verifier_reward,judgment_required,step_level; process_reward,process_supervision; reward_modeling; evaluation,prompt_sourcing; trace_writing; reward_verifier_layer,agent-diagnosis; first-error-localization; constraint-verification,process-supervision; agent-trajectories; reasoning,"AgentRx provides 115 human-annotated failed executions with a critical step and cross-domain failure category, plus auditable constraint-based diagnosis.",AgentRx 为 115 条失败执行轨迹标注关键失败步骤和跨域失效类别，并提供可审计的约束式诊断记录。,https://arxiv.org/abs/2602.02475,https://github.com/microsoft/AgentRx,https://huggingface.co/datasets/microsoft/AgentRx,,
agentsim-verifiable-agent-trace-simulation-2026,AgentSim: A Platform for Verifiable Agent-Trace Simulation,2026,SIGIR 2026,Saber Zerhoudi; Michael Granitzer; Jelena Mitrović,process_trace_supervision_data,必读,data_release; construction_recipe; process_supervision,judgment_required,step_level; process_reward,process_supervision; reward_modeling; evaluation,prompt_sourcing; trace_writing; reward_verifier_layer,retrieval-augmented-generation; agent-reasoning; process-supervision,process-supervision; trace-data; reward-modeling,"AgentSim releases grounded RAG-agent traces with stepwise decision labels, evidence, and provenance from an active validation pipeline.",发布 10 万余条带证据与决策标签的检索增强代理步骤，可训练 grounded 轨迹模型和过程奖励模型。,https://arxiv.org/abs/2604.26653,https://github.com/searchsim-org/sigir26-agentsim,https://huggingface.co/datasets/searchsim/agentsim-atc,,
agentsynth-generalist-computer-use-2026,AgentSynth: Scalable Task Generation for Generalist Computer-Use Agents,2026,ICLR 2026,Jingxu Xie; Dylan Xu; Xuandong Zhao; Dawn Song,process_trace_supervision_data,必读,data_release; construction_recipe; process_supervision,judgment_required,step_level; process_reward,process_supervision; reward_modeling; evaluation,prompt_sourcing; trace_writing; reward_verifier_layer,computer-use; gui-agents; process-supervision,process-supervision; trace-data; reward-modeling,AgentSynth releases verified computer-use task sequences and trajectories whose difficulty scales by composing simple subtasks.,AgentSynth 将可解的简单子任务链式组合为难度可控的长程计算机使用任务，并公开相应执行轨迹。,https://openreview.net/pdf?id=CoBxmXThM6,https://github.com/sunblaze-ucb/AgentSynth,https://huggingface.co/datasets/sunblaze-ucb/AgentSynth,,https://sunblaze-ucb.github.io/agentsynth_web/
plan-rewardbench-trajectory-reward-modeling-2026,Aligning Agents via Planning: A Benchmark for Trajectory-Level Reward Modeling,2026,ACL 2026,Jiaxuan Wang; Yulan Hu; Wenjin Yang; Zheng Pan; Xin Li; Lan-Zhe Guo,preference_reward_feedback_data; process_trace_supervision_data,必读,data_release; benchmark; verifier_reward,judgment_required,scalar_reward,reward_modeling; evaluation,prompt_sourcing; trace_writing; reward_verifier_layer,agents; trajectory-preference; reward-modeling,preference-data; reward-modeling; reasoning,"Plan-RewardBench evaluates whether a judge can prefer safe, recoverable tool-use trajectories over closely confusable alternatives.","1,171 个轨迹偏好比较、七个切分，覆盖规划、工具失效恢复、安全拒答与无关工具识别，适合长程奖励研究。",https://aclanthology.org/2026.acl-long.1062/,https://github.com/wyy-1112/Plan-RewardBench,https://huggingface.co/datasets/wyy1112/Plan-RewardBench,,
alignment-data-map-selection-2026,Alignment Data Map for Efficient Preference Data Selection and Diagnosis,2026,Findings of ACL 2026,Seohyeong Lee; Eunwon Kim; Hwaran Lee; Buru Chang,training_usage_optimization_objectives,必读,construction_recipe,judgment_required,answer_level,preference_learning,optimizer_scaffold,alignment; preference_learning,preference-data; data-selection; label-diagnosis; dpo; simpo,"Alignment Data Map selects preference records by jointly measuring response quality and within-prompt variability, while exposing likely label mismatches.",Alignment Data Map 联合衡量回答质量与同题候选波动，选择更有效的偏好记录并暴露可能错标的样本。,https://aclanthology.org/2026.findings-acl.1906/,https://github.com/01choco/Alignment-Data-Map,,,
amo-bench-olympiad-math-2026,AMO-Bench: Large Language Models Still Struggle in High School Math Competitions,2026,ACL 2026,Shengnan An; Xunliang Cai; Xuezhi Cao; Xiaoyu Li; Yehao Lin; Junlin Liu; Xinxuan Lv; Dan Ma; Xuanlin Wang; Ziwen Wang; Shuang Zhou,judgment_rubric_domain_expert_data,必读,benchmark; data_release,judgment_required,answer_level,evaluation,prompt_sourcing; release_audit,benchmark; expert_evaluation,benchmark; expert_evaluation; judgment,AMO-Bench uses high-school olympiad problems to expose persistent gaps in rigorous mathematical reasoning.,用高中奥数竞赛题揭示前沿模型在严谨数学推理上的持续短板。,https://arxiv.org/abs/2510.26768,https://github.com/meituan-longcat/AMO-Bench,https://huggingface.co/datasets/meituan-longcat/AMO-Bench,,https://amo-bench.github.io/
traceeval-2026,An Execution-Verified Multi-Language Benchmark for Code Semantic Reasoning,2026,arXiv preprint,Yikun Li; Jinfeng Jiang; Ting Zhang; Chengran Yang; Chenxing Zhong; Yin Yide; Leow Wen Bin; Eng Lieh Ouh; Lwin Khin Shar; David Lo,benchmarks_evaluation_surfaces; programmatically_verifiable_outcome_data,可读,benchmark; data_release,programmatic,answer_level,evaluation; audit; sft,reward_verifier_layer; release_audit,code-semantics; code-executable-benchmark,benchmark; code-semantics; code_executable_benchmark; evaluation-surface,TraceEval evaluates code semantic reasoning by asking models to recover runtime call structure whose positive edges are witnessed by validation execution.,TraceEval 通过运行验证过的调用边，评测模型能否从源码恢复程序运行时调用结构。,https://arxiv.org/abs/2605.11006,https://github.com/yikun-li/TraceEva,,,
an-imperfect-verifier-is-good-enough-learning-with-noisy-rewards-2026,An Imperfect Verifier is Good Enough: Learning with Noisy Rewards,2026,arXiv preprint arXiv:2604.07666,Andreas Plesner; Francisco Guzmán; Anish Athalye,audit_failure_contamination_verifier_attacks,可读,survey_background,unknown,unknown,unknown,release_audit,,seeded-from-bib,"Local BibTeX seed for the 🪜 Process Supervision and Process Reward Models map; use it to inspect the paper's data object, verifier contract, and release metadata before promoting it.",研究含噪验证器是否仍可支持有效学习，直接关系到 RLVR 中误判奖励会怎样影响策略更新。,https://arxiv.org/abs/2604.07666,,,,
